"","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment","Week_Number","month","quarter","Events","EventsLabour.Day","EventsNo_Holiday","EventsSuper.Bowl","quarter2","quarter3","quarter4","month2","month3","month4","month5","month6","month7","month8","month9","month10","month11","month12"
"53",1606629.58,0,42.27,2.989,212.5668812,7.742,53,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"54",1649614.93,1,36.39,3.022,212.9367046,7.742,54,2,1,"Super Bowl",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"55",1686842.78,0,57.36,3.045,213.2478853,7.742,55,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"56",1456800.28,0,62.9,3.065,213.535609,7.742,56,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"57",1636263.41,0,59.58,3.288,213.8233327,7.742,57,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"58",1553191.63,0,53.56,3.459,214.1110564,7.742,58,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"59",1576818.06,0,62.76,3.488,214.3627114,7.742,59,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"60",1541102.38,0,69.97,3.473,214.5999389,7.742,60,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"61",1495064.75,0,59.17,3.524,214.8371664,7.682,61,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"62",1614259.35,0,67.84,3.622,215.0743939,7.682,62,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"63",1559889,0,71.27,3.743,215.2918561,7.682,63,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"64",1564819.81,0,72.99,3.807,215.4599053,7.682,64,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"65",1455090.69,0,72.03,3.81,215.6279544,7.682,65,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"66",1629391.28,0,64.61,3.906,215.7960035,7.682,66,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"67",1604775.58,0,75.64,3.899,215.9640526,7.682,67,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"68",1428218.27,0,67.63,3.907,215.7339202,7.682,68,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"69",1466046.67,0,77.72,3.786,215.5037878,7.682,69,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"70",1635078.41,0,83,3.699,215.2736553,7.682,70,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"71",1588948.32,0,83.13,3.648,215.0435229,7.682,71,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"72",1532114.86,0,86.41,3.637,214.9980596,7.682,72,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"73",1438830.15,0,83.58,3.594,215.0910982,7.682,73,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"74",1488538.09,0,85.55,3.524,215.1841368,7.962,74,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"75",1534849.64,0,85.83,3.48,215.2771754,7.962,75,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"76",1455119.97,0,88.54,3.575,215.3611087,7.962,76,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"77",1396926.82,0,85.77,3.651,215.4222784,7.962,77,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"78",1352219.79,0,86.83,3.682,215.4834482,7.962,78,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"79",1624383.75,0,91.65,3.684,215.544618,7.962,79,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"80",1525147.09,0,90.76,3.638,215.6057878,7.962,80,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"81",1530761.43,0,89.94,3.554,215.6693107,7.962,81,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"82",1464693.46,0,87.96,3.523,215.7332258,7.962,82,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"83",1550229.22,0,87.83,3.533,215.7971409,7.962,83,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"84",1540471.24,1,76,3.546,215.861056,7.962,84,9,3,"Labour Day",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"85",1514259.78,0,79.94,3.526,216.0410526,7.962,85,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"86",1380020.27,0,75.8,3.467,216.3758246,7.962,86,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"87",1394561.83,0,79.69,3.355,216.7105965,7.962,87,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"89",1493525.93,0,71.74,3.274,217.3552733,7.866,89,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"90",1502562.78,0,63.71,3.353,217.5159762,7.866,90,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"91",1445249.09,0,66.57,3.372,217.6766791,7.866,91,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"93",1594938.89,0,59.11,3.297,217.9980849,7.866,93,11,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"94",1539483.7,0,62.25,3.308,218.2205088,7.866,94,11,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"96",1584083.95,0,48.91,3.172,218.7147333,7.866,96,12,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"100",1497462.72,1,44.55,3.129,219.5359898,7.866,100,12,4,"Christmas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"101",1550369.92,0,49.01,3.157,219.7142581,7.348,101,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",1459601.17,0,48.53,3.261,219.8925263,7.348,102,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",1394393.84,0,54.11,3.268,219.9856893,7.348,103,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",1319325.59,0,54.26,3.29,220.0788523,7.348,104,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",1636339.65,0,56.55,3.36,220.1720153,7.348,105,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"108",1539387.83,0,57.25,3.555,220.636902,7.348,108,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"109",1688420.76,0,60.96,3.63,220.8480454,7.348,109,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110",1675431.16,0,58.76,3.669,221.0591887,7.348,110,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"111",1677472.78,0,64.74,3.734,221.2118132,7.348,111,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"112",1511068.07,0,65.93,3.787,221.2864126,7.348,112,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"113",1649604.63,0,67.61,3.845,221.3610119,7.348,113,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"115",1621031.7,0,69.07,3.891,221.5102105,7.143,115,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"116",1521577.87,0,66.76,3.877,221.5640737,7.143,116,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"117",1468928.37,0,67.23,3.814,221.6179368,7.143,117,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"118",1684519.99,0,75.55,3.749,221.6718,7.143,118,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"119",1611096.05,0,73.77,3.688,221.7256632,7.143,119,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"120",1595901.87,0,70.33,3.63,221.742674,7.143,120,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"121",1555444.55,0,77.22,3.561,221.744944,7.143,121,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"122",1624477.58,0,77.95,3.501,221.7472139,7.143,122,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"123",1697230.96,0,78.3,3.452,221.7494839,7.143,123,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"124",1630607,0,79.35,3.393,221.7626421,7.143,124,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"125",1527845.81,0,78.39,3.346,221.8030211,7.143,125,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"126",1540421.49,0,84.88,3.286,221.8434,7.143,126,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"128",1527014.04,0,77.12,3.256,221.9241579,6.908,128,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"129",1497954.76,0,80.42,3.311,221.9327267,6.908,129,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"130",1439123.71,0,82.66,3.407,221.9412954,6.908,130,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"131",1631135.79,0,86.11,3.417,221.9498642,6.908,131,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"132",1592409.97,0,85.05,3.494,221.9584329,6.908,132,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"133",1597868.05,0,84.85,3.571,222.0384109,6.908,133,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"134",1494122.38,0,77.66,3.62,222.1719457,6.908,134,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"135",1582083.4,0,80.49,3.638,222.3054805,6.908,135,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"136",1661767.33,1,83.96,3.73,222.4390153,6.908,136,9,3,"Labour Day",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"137",1517428.87,0,74.97,3.717,222.5820193,6.908,137,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"138",1506126.06,0,69.87,3.721,222.7818386,6.908,138,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"139",1437059.26,0,76.08,3.666,222.9816579,6.908,139,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"141",1573072.81,0,62.99,3.601,223.3812965,6.573,141,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"142",1508068.77,0,67.97,3.594,223.4257233,6.573,142,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"143",1493659.74,0,69.16,3.506,223.4442513,6.573,143,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
